#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
2950,-58229.76122316171,300.52318279426214,1.0399581350533937
2960,-58286.32372316171,303.4066702297443,1.0399581350533937
2970,-58308.01122316171,302.6639525915223,1.0399581350533937
2980,-58460.26267549861,310.19716643042705,1.0410307058213761
2990,-58278.63767549861,303.15455503678925,1.0410307058213761
3000,-58235.117074011476,302.43361268826044,1.0426684984756773
3010,-58233.804574011476,302.0101400551004,1.0426684984756773
3020,-58358.054574011476,306.556743637487,1.0426684984756773
3030,-58346.28057266073,306.5467152120712,1.0457893287188291
3040,-58750.40557266073,322.36533031089436,1.0457893287188291
3050,-58280.668119398295,304.5310369422014,1.0417752782562268
3060,-58216.418119398295,301.9389538251496,1.0417752782562268
3070,-58438.980619398295,309.3559892194368,1.0417752782562268
3080,-58335.293119398295,303.3842154984797,1.0417752782562268
3090,-58468.105619398295,307.8702603902347,1.0417752782562268
3100,-58370.230619398295,303.8209599120282,1.0417752782562268
3110,-58206.105619398295,296.6349548979986,1.0417752782562268
3120,-58275.418119398295,299.2175892325346,1.0417752782562268
3130,-58508.730619398295,306.05799086942574,1.0417752782562268
3140,-58251.480619398295,295.68646192236076,1.0417752782562268
3150,-58295.293119398295,297.92258513542384,1.0417752782562268
3160,-58211.918119398295,294.56018329165215,1.0417752782562268
3170,-58449.855619398295,304.00463820264844,1.0417752782562268
3180,-58302.45885091962,299.10088720526255,1.042982040428595
3190,-58466.45885091962,304.03426927482053,1.042982040428595
3200,-58380.83385091962,299.7844011725716,1.042982040428595
3210,-58351.70885091962,298.06955127182476,1.042982040428595
3220,-58197.58385091962,291.0317578836593,1.042982040428595
3230,-58494.11482286861,301.80602317925246,1.0443689823109037
3240,-58438.11482286861,300.6045669093014,1.0443689823109037
3250,-58463.60746452201,300.09575587699186,1.047760192681304
3260,-58408.48246452201,298.8637852013622,1.047760192681304
3270,-58349.60746452201,295.8778692115213,1.047760192681304
3280,-58373.27081727295,295.90078684317683,1.051734611747143
